geo_id,name,median_rent,median_income,total_renters,pct_burdened,tract,county,rent_to_income
1400000US17031110100,Census Tract 1101; Cook County; Illinois,1457.0,97743.0,802,53.0,1101,Cook County,17.9
1400000US17031110200,Census Tract 1102; Cook County; Illinois,1187.0,76563.0,707,46.3,1102,Cook County,18.6
1400000US17031110300,Census Tract 1103; Cook County; Illinois,1642.0,119750.0,192,54.2,1103,Cook County,16.5
1400000US17031110400,Census Tract 1104; Cook County; Illinois,1357.0,92315.0,780,25.9,1104,Cook County,17.6
1400000US17031110501,Census Tract 1105.01; Cook County; Illinois,1555.0,105568.0,744,48.4,1105.01,Cook County,17.7
1400000US17031110502,Census Tract 1105.02; Cook County; Illinois,1353.0,71992.0,479,41.8,1105.02,Cook County,22.6
1400000US17031120100,Census Tract 1201; Cook County; Illinois,2250.0,163007.0,38,26.3,1201,Cook County,16.6
1400000US17031120200,Census Tract 1202; Cook County; Illinois,1408.0,141458.0,273,39.9,1202,Cook County,11.9
1400000US17031120300,Census Tract 1203; Cook County; Illinois,1402.0,139338.0,256,38.3,1203,Cook County,12.1
1400000US17031120400,Census Tract 1204; Cook County; Illinois,1586.0,108145.0,278,36.7,1204,Cook County,17.6
1400000US17031130100,Census Tract 1301; Cook County; Illinois,431.0,34565.0,938,46.9,1301,Cook County,15.0
1400000US17031130200,Census Tract 1302; Cook County; Illinois,1245.0,120625.0,92,33.7,1302,Cook County,12.4
1400000US17031130300,Census Tract 1303; Cook County; Illinois,1367.0,67833.0,1094,41.6,1303,Cook County,24.2
1400000US17031140100,Census Tract 1401; Cook County; Illinois,1543.0,78686.0,929,44.7,1401,Cook County,23.5
1400000US17031140200,Census Tract 1402; Cook County; Illinois,1356.0,75067.0,1162,45.8,1402,Cook County,21.7
1400000US17031140301,Census Tract 1403.01; Cook County; Illinois,1362.0,75616.0,632,40.3,1403.01,Cook County,21.6
1400000US17031140302,Census Tract 1403.02; Cook County; Illinois,1264.0,97574.0,661,41.3,1403.02,Cook County,15.5
1400000US17031140400,Census Tract 1404; Cook County; Illinois,1185.0,110306.0,471,36.9,1404,Cook County,12.9
1400000US17031140500,Census Tract 1405; Cook County; Illinois,1196.0,73889.0,786,45.0,1405,Cook County,19.4
1400000US17031140601,Census Tract 1406.01; Cook County; Illinois,1326.0,85375.0,488,44.7,1406.01,Cook County,18.6
1400000US17031140602,Census Tract 1406.02; Cook County; Illinois,1614.0,62033.0,1293,41.4,1406.02,Cook County,31.2
1400000US17031140701,Census Tract 1407.01; Cook County; Illinois,1451.0,97500.0,586,43.7,1407.01,Cook County,17.9
1400000US17031140702,Census Tract 1407.02; Cook County; Illinois,1434.0,76392.0,1384,40.3,1407.02,Cook County,22.5
1400000US17031140800,Census Tract 1408; Cook County; Illinois,1601.0,108958.0,1419,25.0,1408,Cook County,17.6
1400000US17031150200,Census Tract 1502; Cook County; Illinois,1337.0,105145.0,1281,33.2,1502,Cook County,15.3
1400000US17031150300,Census Tract 1503; Cook County; Illinois,1351.0,89097.0,1387,32.3,1503,Cook County,18.2
1400000US17031150401,Census Tract 1504.01; Cook County; Illinois,1415.0,86563.0,724,46.1,1504.01,Cook County,19.6
1400000US17031150402,Census Tract 1504.02; Cook County; Illinois,1375.0,103939.0,496,41.1,1504.02,Cook County,15.9
1400000US17031150501,Census Tract 1505.01; Cook County; Illinois,1475.0,126471.0,399,52.9,1505.01,Cook County,14.0
1400000US17031150502,Census Tract 1505.02; Cook County; Illinois,1385.0,79659.0,558,56.1,1505.02,Cook County,20.9
1400000US17031150600,Census Tract 1506; Cook County; Illinois,1486.0,102399.0,415,41.9,1506,Cook County,17.4
1400000US17031150700,Census Tract 1507; Cook County; Illinois,1243.0,132361.0,456,52.0,1507,Cook County,11.3
1400000US17031150800,Census Tract 1508; Cook County; Illinois,1377.0,92443.0,484,38.8,1508,Cook County,17.9
1400000US17031151001,Census Tract 1510.01; Cook County; Illinois,1459.0,94435.0,339,51.9,1510.01,Cook County,18.5
1400000US17031151002,Census Tract 1510.02; Cook County; Illinois,1246.0,75875.0,985,51.5,1510.02,Cook County,19.7
1400000US17031151100,Census Tract 1511; Cook County; Illinois,1268.0,62717.0,1031,48.5,1511,Cook County,24.3
1400000US17031151200,Census Tract 1512; Cook County; Illinois,1363.0,69776.0,253,54.2,1512,Cook County,23.4
1400000US17031160100,Census Tract 1601; Cook County; Illinois,1579.0,111250.0,356,51.4,1601,Cook County,17.0
1400000US17031160200,Census Tract 1602; Cook County; Illinois,1582.0,132599.0,438,25.1,1602,Cook County,14.3
1400000US17031160300,Census Tract 1603; Cook County; Illinois,1209.0,68887.0,980,42.3,1603,Cook County,21.1
1400000US17031160400,Census Tract 1604; Cook County; Illinois,1256.0,81375.0,1134,38.4,1604,Cook County,18.5
1400000US17031160501,Census Tract 1605.01; Cook County; Illinois,1387.0,80179.0,873,36.5,1605.01,Cook County,20.8
1400000US17031160502,Census Tract 1605.02; Cook County; Illinois,1411.0,114719.0,754,30.4,1605.02,Cook County,14.8
1400000US17031160601,Census Tract 1606.01; Cook County; Illinois,1560.0,75536.0,800,37.8,1606.01,Cook County,24.8
1400000US17031160602,Census Tract 1606.02; Cook County; Illinois,1422.0,99531.0,662,42.4,1606.02,Cook County,17.1
1400000US17031160700,Census Tract 1607; Cook County; Illinois,1376.0,93750.0,1296,38.9,1607,Cook County,17.6
1400000US17031160800,Census Tract 1608; Cook County; Illinois,1570.0,87676.0,939,42.3,1608,Cook County,21.5
1400000US17031160900,Census Tract 1609; Cook County; Illinois,1215.0,109598.0,331,44.7,1609,Cook County,13.3
1400000US17031161000,Census Tract 1610; Cook County; Illinois,1709.0,109524.0,468,32.9,1610,Cook County,18.7
1400000US17031161100,Census Tract 1611; Cook County; Illinois,1716.0,149722.0,272,30.5,1611,Cook County,13.8
1400000US17031161200,Census Tract 1612; Cook County; Illinois,1377.0,80132.0,456,48.0,1612,Cook County,20.6
1400000US17031161300,Census Tract 1613; Cook County; Illinois,1254.0,59353.0,1057,63.4,1613,Cook County,25.4
1400000US17031170100,Census Tract 1701; Cook County; Illinois,2250.0,51944.0,130,51.5,1701,Cook County,52.0
1400000US17031170200,Census Tract 1702; Cook County; Illinois,1430.0,110602.0,183,57.9,1702,Cook County,15.5
1400000US17031170300,Census Tract 1703; Cook County; Illinois,1411.0,82203.0,481,24.3,1703,Cook County,20.6
1400000US17031170400,Census Tract 1704; Cook County; Illinois,1188.0,110800.0,86,29.1,1704,Cook County,12.9
1400000US17031170500,Census Tract 1705; Cook County; Illinois,1478.0,85250.0,522,55.4,1705,Cook County,20.8
1400000US17031170600,Census Tract 1706; Cook County; Illinois,1488.0,81004.0,118,42.4,1706,Cook County,22.0
1400000US17031170700,Census Tract 1707; Cook County; Illinois,1352.0,90611.0,249,20.9,1707,Cook County,17.9
1400000US17031170800,Census Tract 1708; Cook County; Illinois,1184.0,80446.0,286,55.9,1708,Cook County,17.7
1400000US17031170900,Census Tract 1709; Cook County; Illinois,1552.0,64202.0,233,75.5,1709,Cook County,29.0
1400000US17031171000,Census Tract 1710; Cook County; Illinois,993.0,86597.0,638,34.5,1710,Cook County,13.8
1400000US17031171100,Census Tract 1711; Cook County; Illinois,1409.0,95781.0,400,35.2,1711,Cook County,17.7
1400000US17031180100,Census Tract 1801; Cook County; Illinois,1531.0,86632.0,722,42.4,1801,Cook County,21.2
1400000US17031190100,Census Tract 1901; Cook County; Illinois,1067.0,56713.0,645,48.8,1901,Cook County,22.6
1400000US17031190200,Census Tract 1902; Cook County; Illinois,1370.0,80380.0,779,43.1,1902,Cook County,20.5
1400000US17031190300,Census Tract 1903; Cook County; Illinois,1142.0,78750.0,997,51.4,1903,Cook County,17.4
1400000US17031190401,Census Tract 1904.01; Cook County; Illinois,1175.0,115000.0,245,64.9,1904.01,Cook County,12.3
1400000US17031190402,Census Tract 1904.02; Cook County; Illinois,1229.0,63140.0,863,56.0,1904.02,Cook County,23.4
1400000US17031190601,Census Tract 1906.01; Cook County; Illinois,1030.0,77316.0,295,54.9,1906.01,Cook County,16.0
1400000US17031190602,Census Tract 1906.02; Cook County; Illinois,1335.0,82232.0,597,46.1,1906.02,Cook County,19.5
1400000US17031190701,Census Tract 1907.01; Cook County; Illinois,1265.0,68810.0,478,40.6,1907.01,Cook County,22.1
1400000US17031190702,Census Tract 1907.02; Cook County; Illinois,1223.0,62813.0,793,53.5,1907.02,Cook County,23.4
1400000US17031190800,Census Tract 1908; Cook County; Illinois,1082.0,52880.0,948,64.5,1908,Cook County,24.6
1400000US17031190900,Census Tract 1909; Cook County; Illinois,968.0,77778.0,346,49.4,1909,Cook County,14.9
1400000US17031191000,Census Tract 1910; Cook County; Illinois,1153.0,58182.0,333,62.5,1910,Cook County,23.8
1400000US17031191100,Census Tract 1911; Cook County; Illinois,1283.0,51958.0,1170,60.9,1911,Cook County,29.6
1400000US17031191200,Census Tract 1912; Cook County; Illinois,1411.0,51449.0,677,32.3,1912,Cook County,32.9
1400000US17031191301,Census Tract 1913.01; Cook County; Illinois,1385.0,69783.0,654,34.4,1913.01,Cook County,23.8
1400000US17031191302,Census Tract 1913.02; Cook County; Illinois,1578.0,62146.0,479,52.8,1913.02,Cook County,30.5
1400000US17031200100,Census Tract 2001; Cook County; Illinois,1267.0,81131.0,555,44.0,2001,Cook County,18.7
1400000US17031200200,Census Tract 2002; Cook County; Illinois,1275.0,69335.0,895,43.2,2002,Cook County,22.1
1400000US17031200300,Census Tract 2003; Cook County; Illinois,1653.0,48977.0,501,41.7,2003,Cook County,40.5
1400000US17031200401,Census Tract 2004.01; Cook County; Illinois,1155.0,69046.0,442,47.3,2004.01,Cook County,20.1
1400000US17031200402,Census Tract 2004.02; Cook County; Illinois,1342.0,80784.0,680,20.3,2004.02,Cook County,19.9
